"","Bug_StationCode","SampleID","SampleDate","MostRecentSample","CSCI","CSCI_Percentile","OoverE","OoverE_Percentile","MMI","MMI_Percentile","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Peak_2","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"1","314SYL","314SYL373501BMI_CSBP_Trans","4/4/02",2,0.864352091,0.2,0.982549471,0.46,0.746154711,0.08,115,0.98,11.47,123,NA,NA,NA,70.71,0,2,-2,0,2,1,0,172,5,123,82.56,0.04,237,12,12.47,24.69,0
"2","315GAVGSP","315GAVGSP370341BMI_CSBP_Trans","5/23/01",1,0.629634589,0.01,0.644804424,0.03,0.614464754,0.02,NA,NA,NA,0,NA,NA,NA,0,0,0,-346,0,0,5,0,0,175,0,1.9,0,180,3,0,4.41,1
"3","315MIU","315MIU395661BMI_RWB","4/28/08",3,1.013557289,0.53,1.118516457,0.73,0.908598121,0.3,0,0,0,0,NA,NA,NA,0.05,0,0,0,0,0,0,0,0,0,0,9.6,0,120,2,0.15,0.21,0
"4","403SPCNWS","403SPCNWS417511BMI_RWB","4/22/14",1,1.113268983,0.76,1.273107613,0.92,0.953430352,0.4,1,0.08,0.2,1,1,3.8,0,3.35,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0.13,0.66,0
"5","403STC009","403STC009376571BMI_CSBP_Trans","2/5/03",2,1.008875305,0.52,0.954074895,0.4,1.063675716,0.64,35,1,3.37,74,2,48.18,0,23,0,0,0,0,0,0,0,0,0,1,16.84,0,47,2,5.76,10.18,0
"6","403STC070","403STC070376571BMI_CSBP_Trans","2/5/03",1,1.134349748,0.8,1.272685694,0.92,0.996013803,0.49,1,0.09,0.03,1,1,3.73,0,0.67,0,0,0,0,0,0,0,0,0,1,5.23,0.01,0,0,0.15,1.52,0
"7","408CAL012","408CAL012371941BMI_CSBP_Trans","10/30/01",1,0.636061973,0.01,0.706332608,0.06,0.565791339,0.01,138,0.42,0.94,136,NA,NA,NA,121.73,0,-5,0,0,5,0,0,142,0,136,396.58,0.04,204,89,0.06,2.25,-2
"8","722ABSPPC","722ABSPPC417501BMI_RWB","4/21/14",2,0.934342033,0.34,1.183426534,0.83,0.685257532,0.04,NA,NA,NA,0,NA,NA,NA,0.19,0,1,0,0,2,0,0,161,0,0,0.06,0,0,1,0.01,0,0
"9","802SJR116","802SJR116414631BMI_RWB","7/8/13",2,0.311941332,0,0.37853781,0,0.245344854,0,197,3.35,8.61,0,NA,NA,NA,370.64,0,-21,1,0,6,1,0,151,0.5,1,5594.7,0,191,7,0,162.69,-2
"10","901ATCDOS","901ATCDOS417581BMI_RWB","4/29/14",1,0.638971908,0.01,0.856065144,0.22,0.421878671,0,-12,0.22,3.18,50,NA,NA,NA,217.9,-20,-5,-2,1,6,1,-37.5,143,20,-4,279.47,0,92,134,4.5,9.34,-4
