"","stationcode","sampleid","sampledate","oovere","mmi","csci","latitude","longitude","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Peak_2","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"1","312PS0099","312PS0099_06142010_BMI_RWB_1","6/14/10",1.11687099,1.07707254,1.09697177,34.77948,-119.95802,0,0,0,-5,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,-0.01,0
"2","312WE1028","312WE1028_05292002_BMI_RWB_1","5/29/02",1.29627794,0.73128893,1.01378344,34.74721,-119.71562,0,0,0,-8,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-1,-0.11,0,0,0,0,0,0
"3","312WE1035","312WE1035_05302002_BMI_RWB_1","5/30/02",0.98393678,1.15763895,1.07078787,34.73287,-119.67637,0,0,0,-3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,-5,0,0,0
"4","314SYL","314SYL_04042002_BMI_CSBP_Trans_1","4/4/02",1.00210875,0.75676227,0.87943551,34.64387,-120.43045,59,0.38,3.62,-169,NA,NA,NA,70.71,0,-364,-176,0,0,0,0,-26.5,0,-2,-18.75,-0.08,0,0,0,-0.91,-12
"5","314WE0542","314WE0542_07112000_BMI_CSBP_Trans_1","7/11/00",0.94113407,0.81614835,0.87864121,34.55085,-120.3583,-10,0,-0.99,-4,0,0.23,0,0,-88,0,-85,0,0,0,14,0,0,2,0,-0.6,-29,-29,-1.3,-1.3,-10
"6","314WE0677","314WE0677_07232008_BMI_RWB_1","7/23/08",0.88825769,1.01024097,0.94924933,34.7477,-120.05303,-4,0,0,-14,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-1,-0.03,0,0,0,0,-4.36,-4
"7","314WE0779","314WE0779_07112001_BMI_CSBP_Trans_1","7/11/01",1.18379215,1.03092614,1.10735915,34.66959,-119.75404,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0
"8","314WE0796","314WE0796_07102001_BMI_CSBP_Trans_1","7/10/01",1.17617629,1.02755675,1.10186652,34.68351,-119.79875,-40,-0.6,0,-8,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,-27,-0.44,-0.01,-7
"9","314WE1046","314WE1046_06122002_BMI_RWB_1","6/12/02",1.06892131,1.16384957,1.11638544,34.5365,-119.83603,0,0,0,-1,NA,NA,NA,0.04,0,-12,0,0,0,0,0,-31,0,-1,0.06,0,0,0,0,-0.02,0
"10","315CE0584","315CE0584_06072006_BMI_RWB_1","6/7/06",1.31696774,0.92584944,1.12140859,34.47666,-120.33833,-9,0,0,-5,NA,NA,NA,0,0,-1,0,0,0,0,0,0,0,0,-0.02,0,-7,-7,0,-0.59,-13
"11","315GAVGSP","315GAVGSP_05232001_BMI_CSBP_Trans_1","5/23/01",0.61621207,0.61676591,0.61648899,34.47395,-120.22866,NA,NA,NA,0,NA,NA,NA,0,0,0,-363,0,0,0,0,0,128,0,0,0,0,-1,0,0,-3
"12","315MIU","315MIU_04282008_BMI_RWB_1","4/28/08",1.11250293,0.90820362,1.01035327,34.44673,-119.70745,-1,-0.01,-0.02,-18,NA,NA,NA,0.05,0,-60,-2,0,0,0,0,-0.5,0,-2,-0.99,0,0,0,-0.01,-0.12,-1
"13","402BA0079","402BA0079_05282008_BMI_RWB_1","5/28/08",0.84225358,0.76776221,0.8050079,34.41183,-119.27418,-156,-1.66,-3.67,-183,NA,NA,NA,31.83,0,-222,0,0,-1,0,0,-18,0,-8,-39.36,0,-1,0,-0.07,-5.71,-9
"14","402BA0095","402BA0095_05292008_BMI_RWB_1","5/29/08",1.32741831,1.10448302,1.21595066,34.46328,-119.34566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,-11,0,0,0
"15","402BA0143","402BA0143_05212008_BMI_RWB_1","5/21/08",0.75197227,0.58339355,0.66768291,34.36483,-119.31057,-159,-8.65,-19.26,-210,0,-207.79,-42,50.54,0,0,0,0,0,0,0,0,0,-13,-208.62,0,0,-1,-0.62,-3.93,-9
"16","402BA0287","402BA0287_06092008_BMI_RWB_1","6/9/08",1.06228056,1.01762477,1.03995266,34.50284,-119.36644,-10,0,0,-4,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,-0.01,-10
"17","402BA0335","402BA0335_05272008_BMI_RWB_1","5/27/08",0.97330032,0.72707352,0.85018692,34.37965,-119.30751,-185,-0.54,-6.56,-37,-5,70.03,0,17.72,0,0,0,0,0,0,0,0,0,-42,-1031.93,-0.08,-1,-1,-2.49,-199.92,-28
"18","402WE0536","402WE0536_06142000_BMI_CSBP_Trans_1","6/14/00",1.2958773,1.01388147,1.15487938,34.5196,-119.40537,0,0,0,-4,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,-0.03,-0.01,0,0,0,0,0
"19","402WE0803","402WE0803_06122001_BMI_CSBP_Trans_1","6/12/01",0.89504086,0.92623915,0.91064,34.42131,-119.3806,-1,-0.04,0,-3,-31,0.16,0,-0.01,0,0,0,0,0,0,0,-1,0,0,-0.03,0,0,-12,0,0,0
"20","403BA0015","403BA0015_05192008_BMI_RWB_1","5/19/08",1.02851554,0.98517561,1.00684557,34.5312,-119.18421,0,0,0,-1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","403BA0027","403BA0027_06182014_BMI_RWB_MCM_1","6/18/14",0.95929163,0.90659145,0.93294154,34.66254,-119.05249,0,0,0,-4,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,-0.06,0,-1,-1,0,0,0
"22","403BA0171","403BA0171_05192008_BMI_RWB_1","5/19/08",1.00797511,1.07762104,1.04279807,34.58516,-119.28363,-1,-0.02,-0.03,-72,2,0.12,0,-0.02,0,0,0,0,0,0,0,0,0,0,-0.54,-0.01,0,0,-0.01,-0.08,-1
"23","403BA0960","403BA0960_05212008_BMI_RWB_1","5/21/08",1.21564701,1.15631671,1.18598186,34.59078,-118.4617,-12,-0.22,0,-3,NA,NA,NA,0.02,0,-179,0,0,0,0,0,-26,0,-73,0,-0.03,0,-27,-0.7,-0.23,-5
"24","403CE0188","403CE0188_05262016_BMI_RWB_1","5/26/16",0.97277465,0.87005079,0.92141272,34.35646,-119.04752,-87,-0.02,-0.13,-29,0,-6.83,-7,10.99,0,0,0,0,0,0,0,0,0,-10,-349.31,0,0,0,0,-0.99,-6
"25","403S00640","403S00640_06112009_BMI_RWB_1","6/11/09",0.83594331,0.9697914,0.90286736,34.60115,-118.558,-17,-0.04,-0.06,-14,-1,1.89,-8,2.02,-1,-9,-4,0,0,0,-0.5,-6,0,-90,-11.58,0,-1,-1,-0.04,-1.34,-2
"26","403S00831","403S00831_06102010_BMI_RWB_1","6/10/10",0.50063777,0.49407019,0.49735398,34.43048,-118.8318,0,0,0,-14,NA,NA,NA,0.08,0,-90,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0
"27","403S00875","403S00875_06242010_BMI_RWB_1","6/24/10",0.81519658,0.75985826,0.78752742,34.55668,-119.30629,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
"28","403S01195","403S01195_06102009_BMI_RWB_1","6/10/09",0.84471377,0.81192753,0.82832065,34.55903,-119.2678,-1,-0.05,-0.06,-18,-5,3.83,0,0.98,0,0,0,0,0,0,0,0,0,0,-0.71,0,0,0,-0.03,-0.41,-1
"29","403S01536","403S01536_07122011_BMI_RWB_1","7/12/11",1.14601236,0.81793441,0.98197339,34.56909,-118.39212,-6,0.01,0.01,-4,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,25,0,-0.03,-29,-29,-1.09,-1.3,-8
"30","403S01707","403S01707_06072010_BMI_RWB_1","6/7/10",0.80468203,0.6366526,0.72066732,34.59835,-119.34799,-15,-0.02,-0.53,-6,NA,NA,NA,0.57,0,0,0,0,0,0,0,0,0,-1,-0.4,-0.01,0,0,0,-11.27,-15
"31","403S01728","403S01728_07132011_BMI_RWB_1","7/13/11",1.33194284,1.18519979,1.25857131,34.5749,-118.46002,-8,-0.01,0.01,-43,NA,NA,NA,1.7,-119,-120,-119,0,0,0,8,1,6,-122,0,-0.38,0,-17,-0.24,0.2,-5
"32","403S02363","403S02363_06162011_BMI_RWB_1","6/16/11",1.12084272,1.03018274,1.07551273,34.55885,-119.15456,-1,-0.04,-0.06,-1,0,5.26,0,4.04,0,0,0,0,0,0,0,0,0,-1,-0.61,0,0,0,-0.04,-0.19,-1
"33","403S03643","403S03643_06242010_BMI_RWB_1","6/24/10",0.98566524,1.03553065,1.01059794,34.56213,-119.12891,0,-0.05,-0.06,-1,0,5.24,0,3.99,0,-1,0,0,0,0,0,0,0,-1,-0.55,0,0,0,-0.04,-0.19,0
"34","403S05291","403S05291_06072010_BMI_RWB_1","6/7/10",1.27320413,0.96709257,1.12014835,34.56397,-119.26305,-1,-0.04,-0.05,-4,-5,3.56,0,2.69,0,0,0,0,0,0,0,0,0,0,-0.69,0,0,0,-0.03,-1.17,-1
"35","403S06139","403S06139_06272012_BMI_RWB_1","6/27/12",0.42262585,0.59795477,0.51029031,34.55464,-119.2405,0,-0.17,-0.06,-18,0,0.11,0,2.95,0,0,0,0,0,0,0,0,0,-1,-0.73,0,0,-1,-0.04,-0.43,0
